389,402,91
390,402,92
391,402,93
392,402,94
394,402,96
395,402,97
398,402,100
399,402,101
400,402,102
401,402,103
402,402,104
405,403,3
407,403,5
408,403,6
415,403,8
417,403,9
418,403,10
427,403,11
429,403,12
432,403,15
433,403,16
434,403,17
435,403,18
436,403,19
437,403,20
438,403,21
439,403,22
440,403,23
441,403,24
442,403,25
446,403,29
447,403,30
448,403,31
450,403,33
454,403,37
457,403,40
458,403,41
459,403,42
460,403,43
461,403,44
462,403,45
463,403,46
465,403,47
469,403,48
472,403,51
473,403,52
474,403,53
475,403,54
476,404,1
478,404,3
479,404,4
480,404,5
482,404,7
483,404,8
484,404,9
486,404,11
487,404,12
488,404,13
489,404,14
490,404,15
491,404,16
492,404,17
493,404,18
494,404,19
495,404,20
501,404,26
505,404,30
506,404,31
507,404,32
509,404,34
510,404,35
511,404,36
512,404,37
513,404,38
514,404,39
515,404,40
517,404,42
518,404,43
519,404,44
520,404,45
522,404,47
526,404,48
527,404,48
529,405,1
530,405,2
532,405,4
533,405,5
537,405,8
538,405,9
540,405,11
542,405,13
543,405,14
544,405,15
545,405,16
546,405,17
547,405,18
552,405,21
557,405,22
558,405,22
559,405,23
560,405,24
561,405,25
563,405,27
564,405,28
565,405,29
569,405,30
570,405,30
571,405,31
572,405,32
575,405,35
576,405,36
578,405,38
579,405,39
580,405,40
581,405,42
582,405,42
584,405,44
591,405,45
592,405,45
593,405,46
594,405,47
597,405,50
598,406,1
600,406,3
603,406,6
605,406,8
607,406,10
611,406,11
616,406,12
617,406,14
618,406,15
620,406,17
621,406,18
622,406,19
623,406,20
624,406,21
625,406,22
626,406,23
627,406,24
633,406,30
634,406,31
635,406,32
636,406,33
637,406,34
638,406,35
639,406,36
643,407,4
645,407,6
647,407,8
648,407,9
649,407,10
650,407,11
651,407,12
652,407,13
653,407,14
654,407,15
655,407,16
659,407,19
664,407,20
667,407,21
673,407,22
675,407,23
686,407,26
688,407,28
689,407,29
690,407,30
691,407,31
692,407,32
694,407,34
695,407,35
696,407,36
697,407,37
698,407,38
700,407,40
701,407,41
702,407,42
703,407,43
704,407,44
705,407,45
706,407,46
707,407,47
708,407,48
711,407,51
717,407,54
719,407,55
720,407,56
723,407,57
724,407,58
725,407,59
734,407,60
735,407,60
736,407,60
737,407,60
738,407,60
739,407,60
740,407,60
741,407,61
742,407,62
743,407,63
744,407,64
745,407,65
746,407,66
747,407,67
748,407,68
749,407,69
750,407,70
751,407,71
752,407,72
753,407,73
754,407,74
755,407,75
756,407,76
757,407,77
758,407,78
759,407,79
760,407,80
762,407,81
764,407,83
765,407,84
767,407,86
768,407,87
769,407,88
770,407,89
771,407,90
772,407,91
773,407,92
774,407,93
775,407,94
776,407,95
782,407,96
783,407,96
784,407,96
785,407,97
786,407,98
787,407,99
788,407,100
789,407,101
792,407,102
793,407,102
795,407,104
796,407,106
797,407,107
798,407,108
799,407,109
800,407,110
801,407,111
804,407,113
806,407,114
807,407,115
808,407,116
809,407,117
810,407,118
811,407,119
812,407,120
814,407,122
815,407,123
816,407,124
820,407,125
821,407,125
824,407,128
826,407,130
827,407,131
829,407,133
830,407,134
831,407,135
832,407,136
833,407,137
834,407,138
835,407,139
836,407,140
837,407,141
838,408,1
839,408,2
840,408,3
841,408,4
842,408,5
843,408,6
844,408,7
845,408,8
846,408,9
849,408,12
850,408,13
851,408,14
852,408,15
853,408,16
855,408,18
858,408,21
860,408,23
861,408,24
862,408,25
863,408,26
864,408,27
865,408,28
867,408,29
868,408,30
869,408,31
871,408,33
872,408,34
873,408,35
874,408,36
875,408,37
876,408,38
877,408,39
878,408,40
879,408,41
880,408,42
881,408,43
883,408,45
884,408,46
887,408,47
888,408,47
891,408,48
892,408,48
895,408,50
896,408,51
897,408,52
898,408,53
899,408,54
900,408,55
901,408,56
907,408,57
908,408,57
909,408,57
910,408,57
911,408,58
912,408,59
913,408,60
915,408,61
916,408,61
917,408,62
920,408,64
921,408,64
923,408,66
924,408,67
925,408,68
934,408,70
935,408,70
939,408,71
940,408,71
941,408,72
942,408,73
943,408,74
944,408,75
947,409,3
949,409,5
951,409,7
952,409,8
953,409,9
954,409,10
955,409,11
958,409,12
959,409,12
960,409,13
961,409,14
962,409,15
963,409,16
964,409,17
965,409,18
966,409,19
967,409,20
968,409,21
969,409,22
971,409,24
972,409,25
973,409,26
974,409,27
975,409,28
976,409,29
977,409,30
978,409,31
979,409,32
981,409,34
982,409,35
983,409,36
984,409,37
986,409,39
987,409,40
990,409,43
991,409,44
992,409,45
993,409,46
994,409,47
995,409,48
996,409,49
997,409,50
998,409,51
1002,409,53
1003,409,53
1004,409,54
1005,409,55
1006,409,56
1009,409,57
1015,409,60
1016,409,61
1018,409,63
1019,409,64
1020,409,65
1022,409,67
1023,409,68
1024,409,69
1025,409,70
1026,409,71
1027,409,72
1028,409,73
1030,409,75
1031,409,76
1033,409,78
1034,409,79
1035,409,80
1037,409,82
1038,409,83
1039,409,84
1040,409,85
1041,409,86
1042,409,87
1043,409,88
1045,409,90
1046,409,91
1048,409,93
1049,409,94
1051,409,95
1052,409,96
1053,409,98
1054,409,99
1055,409,100
1057,410,2
1058,410,3
1060,410,5
1061,410,6
1064,410,9
1068,410,10
1069,410,10
1070,410,11
1071,410,12
1076,410,13
1077,410,33
1078,410,15
1079,410,16
1081,410,18
1082,410,19
1083,410,20
1084,410,21
1085,410,22
1087,410,24
1091,410,28
1092,410,29
1093,410,30
1094,410,31
1096,410,33
1097,410,34
1098,410,35
1099,410,36
1100,410,37
1101,410,38
1102,410,39
1103,410,40
1104,410,41
1105,410,42
1109,410,46
1111,410,48
1112,410,49
1113,410,50
1118,410,55
1119,410,56
1120,410,57
1121,410,58
1122,410,59
1123,410,60
1124,410,61
1125,410,62
1126,410,63
1127,410,64
1129,410,66
1131,410,68
1132,410,69
1133,410,70
1136,410,73
1137,410,74
1138,410,75
1140,410,77
1141,410,78
1142,410,79
1144,410,80
1149,411,4
1150,411,5
1151,411,6
1152,411,7
1154,411,9
1155,411,10
1156,411,11
1157,411,12
1158,411,13
1163,412,2
1164,412,3
1165,413,1
1166,413,2
1167,413,3
1169,413,5
1170,413,6
1171,413,7
1173,413,9
1177,413,10
1186,413,11
1187,413,13
1188,413,14
1189,413,15
1190,413,16
1191,413,17
1192,413,19
1193,413,20
1195,413,22
1196,413,23
1197,413,24
1198,413,25
1199,413,26
1200,413,27
1201,413,28
1202,413,29
1203,413,30
1204,413,31
1206,413,33
1207,414,1
1208,414,2
1209,414,3
1211,414,5
1212,414,6
1213,414,7
1214,414,8
1215,414,9
1222,414,11
1223,414,11
1225,414,12
1226,414,13
1227,414,14
1228,415,30
1229,414,16
1230,414,17
1232,414,19
1233,414,20
1234,414,21
1235,414,22
1236,414,23
1243,414,25
1247,414,26
1248,414,26
1249,414,27
1250,414,28
1251,414,29
1255,414,30
1256,414,30
1257,414,31
1263,414,32
1265,414,34
1266,414,35
1267,414,36
1268,414,37
1269,414,38
1270,414,39
1271,414,40
1272,414,41
1274,414,43
1277,414,44
1282,414,45
1289,414,49
1291,414,50
1292,414,51
1298,414,53
1299,414,54
1302,414,57
1304,414,58
1305,414,58
1309,414,61
1311,414,61
1312,414,66
1313,414,62
1319,414,63
1323,414,64
1325,415,1
1326,415,2
1327,415,3
1332,415,8
1333,415,9
1335,415,11
1336,415,12
1337,415,13
1338,415,14
1340,415,15
1341,415,16
1342,415,17
1343,415,18
1344,415,19
1352,415,20
1353,415,20
1354,415,20
1355,415,21
1356,415,22
1358,415,24
1360,415,26
1361,415,27
1362,415,28
1363,415,29
1364,416,1
1365,416,2
1366,416,3
1367,416,4
1373,416,10
1374,416,11
1375,416,12
1379,416,14
1382,416,16
1384,416,18
1385,416,19
1386,416,20
1387,416,21
1388,416,22
1389,416,23
1394,416,24
1399,416,25
1400,416,26
1401,416,27
1402,417,1
1403,417,2
1406,417,5
1410,417,6
1412,417,7
1413,418,1
1417,418,3
1423,419,1
1435,419,7
1436,419,8
1437,419,9
1438,420,1
1439,420,2
1440,420,3
1441,420,4
1442,420,5
1443,420,6
1446,420,7
1447,420,7
1448,420,8
1449,420,9
1450,420,10
1451,420,11
1455,420,15
1456,420,16
1457,420,17
1462,420,22
1464,420,24
1466,420,26
1468,420,28
1469,421,1
1471,421,3
1472,421,4
1473,421,5
1475,421,7
1477,421,9
1484,421,16
1485,421,17
1486,421,18
1488,421,20
1489,421,21
100000,402,18
100021,406,22
100041,410,9
100103,410,72
100122,414,55
100142,401,55
100162,401,55
100163,401,55
100164,401,55
100182,401,55
100184,401,55
100202,422,1
100222,407,56
100243,407,53
100262,407,53
100263,404,50
100264,404,51
100265,407,53
100282,407,53
100302,409,81
100322,405,7
100361,406,26
100401,402,15
100422,401,55
100442,401,55
100462,401,55
100463,401,55
100482,401,55
100502,401,55
100503,401,55
100522,401,55
100523,401,55
100542,401,55
100543,401,55
100562,401,55
100563,401,55
100582,401,55
100583,401,55
100602,405,48
100622,405,3
100642,405,49
100662,417,6
100722,401,58
100742,402,44
100822,405,26
100863,401,23
101082,407,86
101143,414,15
101162,201,77
101182,402,1
101183,407,86
101202,407,86
101203,407,86
101204,407,86
101205,407,86
101224,411,1
101242,409,23
101243,409,23
101262,414,65
101282,409,77
101325,403,1
101342,405,38
101362,407,76
101382,407,76
101442,408,75
101462,402,74
101483,410,71
101502,410,51
101523,408,1
101542,405,33
101562,421,22
101582,414,48
101602,201,80
101622,402,37
101642,401,1
102644,408,44
